lang,pearson,offset
en,0.0038975002516221935,-14
en,0.003890162149052274,-13
en,0.005091289369960859,-12
en,0.032261477796752154,-11
en,0.05282955754320503,-10
en,0.03863639820668615,-9
en,0.07811611461100978,-8
en,0.20137010476886413,-7
en,0.11091123238100943,-6
en,0.1420881894910617,-5
en,0.15629427101893076,-4
en,0.22704780807514344,-3
en,0.2843880837029176,-2
en,0.28355270014042766,-1
en,0.8440981777244378,0
en,0.2725815890387617,1
en,0.1371822855829269,2
en,0.12408630274176637,3
en,0.10071739890103909,4
en,0.06478380920485949,5
en,0.05540685773912876,6
en,0.04832709977419358,7
en,0.0476229156641701,8
en,0.04200466621258374,9
en,0.03317668771626551,10
en,0.05242540940251525,11
en,0.05191326063463276,12
en,0.034154980081109364,13
en,0.027370924783729492,14
hi,0.007490019573552422,-14
hi,0.011819677991142788,-13
hi,0.33837923032737416,-12
hi,0.08982108362493432,-11
hi,0.04156708923525355,-10
hi,0.03566864131948605,-9
hi,0.25513485821161525,-8
hi,0.09489737728507568,-7
hi,0.058389244393875224,-6
hi,0.5922499626019601,-5
hi,0.170248242557618,-4
hi,0.08415273270212999,-3
hi,0.07367476463410567,-2
hi,0.2811747579075707,-1
hi,0.5377822451855514,0
hi,0.16664128250190408,1
hi,0.08846319595027417,2
hi,0.07130026597335519,3
hi,0.054682888518151264,4
hi,0.043426985603690293,5
hi,0.037051756108525236,6
hi,0.03258156554794187,7
hi,0.031539390295664556,8
hi,0.026817811945805407,9
hi,0.024999791861357628,10
hi,0.022873543391923695,11
hi,0.019117669183618097,12
hi,0.03529790143882267,13
hi,0.016089588994614414,14
ur,-0.005395962301928617,-14
ur,-0.0042510986685912544,-13
ur,-0.021958359144986634,-12
ur,-0.029035665195502283,-11
ur,-0.025500187621327594,-10
ur,-0.03104297776237917,-9
ur,-0.008435549791103038,-8
ur,-0.0021198793684471325,-7
ur,0.018488703384331878,-6
ur,0.03214669014557956,-5
ur,0.06544148985260123,-4
ur,0.18081180561243893,-3
ur,0.22926701340016206,-2
ur,0.0855006912768769,-1
ur,0.06037965931139706,0
ur,0.0265417399280499,1
ur,0.012184078383965853,2
ur,0.016988267128682625,3
ur,0.025284901262239506,4
ur,0.0003087003936938072,5
ur,0.004263540451084089,6
ur,0.012789937476625383,7
ur,0.032768970219610345,8
ur,0.01612851598141426,9
ur,0.030335088381514507,10
ur,0.024728149372288146,11
ur,0.08575076407201764,12
ur,0.0070450630051977475,13
ur,0.021888115904950895,14
