"","project","language","article","access","agent","granularity","date","views"
"1","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-05,80
"2","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-06,382
"3","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-07,262
"4","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-08,218
"5","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-09,222
"6","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-10,160
"7","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-11,99
"8","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-12,95
"9","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-13,103
"10","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-14,117
"11","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-15,114
"12","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-16,135
"13","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-17,80
"14","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-18,68
"15","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-19,67
"16","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-20,82
"17","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-21,77
"18","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-22,53
"19","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-23,59
"20","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-24,48
"21","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-25,97
"22","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-26,55
"23","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-27,63
"24","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-28,46
"25","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-29,52
"26","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-30,72
"27","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-08-31,50
"28","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-01,61
"29","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-02,57
"30","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-03,55
"31","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-04,33
"32","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-05,45
"33","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-06,26
"34","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-07,46
"35","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-08,39
"36","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-09,29
"37","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-10,33
"38","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-11,46
"39","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-12,39
"40","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-13,28
"41","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-14,45
"42","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-15,51
"43","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-16,36
"44","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-17,41
"45","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-18,59
"46","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-19,34
"47","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-20,28
"48","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-21,33
"49","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-22,40
"50","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-23,49
"51","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-24,39
"52","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-25,36
"53","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-26,33
"54","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-27,35
"55","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-28,41
"56","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-29,43
"57","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-09-30,35
"58","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-01,41
"59","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-02,22
"60","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-03,29
"61","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-04,24
"62","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-05,29
"63","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-06,21
"64","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-07,41
"65","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-08,31
"66","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-09,38
"67","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-10,30
"68","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-11,36
"69","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-12,34
"70","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-13,10
"71","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-14,20
"72","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-15,50
"73","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-16,24
"74","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-17,36
"75","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-18,26
"76","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-19,26
"77","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-20,25
"78","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-21,17
"79","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-22,42
"80","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-23,26
"81","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-24,20
"82","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-25,15
"83","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-26,32
"84","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-27,25
"85","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-28,28
"86","wikipedia","ur","Kashmir conflict","all-access","all-agents","daily",2019-10-29,28
"87","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-01,2
"88","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-02,11
"89","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-03,11
"90","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-04,6
"91","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-05,2
"92","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-06,3
"93","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-07,6
"94","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-08,18
"95","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-09,5
"96","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-10,12
"97","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-11,10
"98","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-12,6
"99","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-13,10
"100","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-14,2
"101","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-15,1
"102","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-16,2
"103","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-17,2
"104","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-18,2
"105","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-19,6
"106","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-20,3
"107","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-21,8
