Rank,Username,Links,Edits,Minor edits,Minor edits %,First edit,Latest edit,atbe,Added (bytes)
1,Guptadeepak,Top Edits · Edit Counter,160,39,24.40%,5/20/2005 16:02,7/23/2005 19:46,0.4,"33,807"
2,Anonymous editor,Top Edits · Edit Counter,103,67,65%,6/11/2005 22:44,6/17/2006 6:40,3.6,"11,777"
3,Idleguy,Top Edits · Edit Counter,81,18,22.20%,5/30/2005 7:33,10/9/2008 10:37,15.2,"7,582"
4,GeneralizationsAreBad,Top Edits · Edit Counter,72,0,0%,3/27/2016 21:25,3/9/2017 16:04,4.8,"4,926"
5,Deepak~enwiki,Top Edits · Edit Counter,55,27,49.10%,7/24/2005 11:30,10/16/2006 15:58,8.2,"5,265"
6,Gandolf,Top Edits · Edit Counter,47,0,0%,5/20/2005 14:58,5/20/2005 18:53,0,"9,035"
7,Tyler Durden,Top Edits · Edit Counter,36,5,13.90%,4/18/2017 9:23,6/3/2017 6:24,1.3,"17,766"
8,Doorvery far,Top Edits · Edit Counter,33,6,18.20%,12/18/2008 7:20,8/21/2009 7:15,7.5,"11,429"
9,Anand Arvind,Top Edits · Edit Counter,23,0,0%,5/19/2006 8:28,6/3/2006 18:17,0.7,"2,188"
10,MaximvsDecimvs,Top Edits · Edit Counter,22,11,50%,4/14/2007 11:28,12/25/2008 17:39,28.2,"3,185"
11,61.246.204.1,Top Edits · Edit Counter,22,0,0%,10/10/2005 10:12,12/13/2005 10:50,2.9,"1,359"
12,Besidesamiracle,Top Edits · Edit Counter,21,10,47.60%,4/5/2006 10:19,5/14/2006 6:17,1.8,"1,111"
13,Reddi,Top Edits · Edit Counter,20,12,60%,10/29/2005 18:01,11/1/2005 19:43,0.2,"1,161"
14,Wikireader41,Top Edits · Edit Counter,19,5,26.30%,1/1/2009 1:30,6/29/2010 15:43,28.7,"6,278"
15,LeeHunter,Top Edits · Edit Counter,18,2,11.10%,2/21/2006 14:10,11/27/2006 16:55,15.5,251
16,Human3015,Top Edits · Edit Counter,17,7,41.20%,3/26/2015 3:23,8/14/2015 15:18,8.3,"6,983"
17,Kautilya3,Top Edits · Edit Counter,17,1,5.90%,8/5/2016 11:52,2/18/2019 15:40,54.5,172
18,Riyazulrahman,Top Edits · Edit Counter,17,0,0%,3/13/2012 5:27,3/20/2012 9:13,0.4,"14,325"
19,Khanra,Top Edits · Edit Counter,16,0,0%,5/30/2007 22:05,6/7/2007 6:05,0.5,"1,746"
20,Madhev0,Top Edits · Edit Counter,14,7,50%,10/6/2005 19:14,10/20/2005 0:41,0.9,458
21,Oniongas,Top Edits · Edit Counter,14,6,42.90%,4/28/2009 11:33,11/21/2009 3:18,14.8,"3,090"
22,Ragib,Top Edits · Edit Counter,14,4,28.60%,5/23/2005 4:28,8/9/2005 8:03,5.6,"57,847"
23,Mar4d,Top Edits · Edit Counter,14,0,0%,3/7/2012 12:33,12/26/2017 19:59,151.5,867
24,Nshuks7,Top Edits · Edit Counter,13,1,7.70%,11/1/2010 15:22,11/1/2010 16:19,0,806
25,Kashmirspeaks,Top Edits · Edit Counter,12,5,41.70%,1/21/2009 21:53,4/9/2009 22:21,6.5,"2,666"
26,TheoClarke,Top Edits · Edit Counter,12,2,16.70%,5/28/2005 0:48,5/30/2005 21:30,0.2,692
27,Kermanshahi,Top Edits · Edit Counter,12,0,0%,6/11/2009 12:31,6/26/2009 22:11,1.3,"1,965"
28,Noor Aalam,Top Edits · Edit Counter,11,4,36.40%,3/28/2007 23:01,3/31/2008 20:41,33.5,59
29,Hkelkar,Top Edits · Edit Counter,11,0,0%,9/6/2006 4:02,12/9/2006 2:15,8.5,587
30,Mughalnz,Top Edits · Edit Counter,10,1,10%,9/14/2009 0:59,1/26/2010 7:12,13.4,"3,723"
31,Girish ghost,Top Edits · Edit Counter,10,0,0%,8/14/2015 14:45,8/23/2015 8:32,0.9,482
