Rank,Username,Links,Edits,Minor edits,Minor edits %,First edit,Latest edit,atbe,Added (bytes)
1,?????? ????,Top Edits · Edit Counter,14,0,0%,3/12/2011 6:07,8/17/2019 11:01,220,"18,143"
2,Krantmlverma,Top Edits · Edit Counter,8,4,50%,12/17/2013 8:55,5/30/2014 5:44,20.5,"3,866"
3,Shubhamkanodia,Top Edits · Edit Counter,6,4,66.70%,12/3/2013 14:06,5/30/2014 12:43,29.7,0
4,Pashanizam,Top Edits · Edit Counter,4,0,0%,8/6/2019 4:40,8/13/2019 10:36,1.8,"1,005"
5,Anamdas,Top Edits · Edit Counter,3,3,100%,12/17/2013 13:27,12/17/2013 13:29,0,252
6,????? ?????,Top Edits · Edit Counter,3,3,100%,12/7/2013 7:44,5/28/2014 21:35,57.5,0
7,122.170.40.43,Top Edits · Edit Counter,3,0,0%,5/30/2014 10:25,5/30/2014 10:26,0,0
8,103.17.158.153,Top Edits · Edit Counter,3,0,0%,12/3/2013 6:33,12/3/2013 6:38,0,"10,680"
9,????? ?????,Top Edits · Edit Counter,2,2,100%,8/5/2019 6:47,8/5/2019 8:31,0,"3,848"
10,Mayurbot,Top Edits · Edit Counter,2,2,100%,12/4/2011 7:27,12/4/2011 8:31,0,0
11,220.225.99.229,Top Edits · Edit Counter,2,0,0%,5/30/2014 9:51,5/30/2014 9:53,0,29
12,103.14.124.146,Top Edits · Edit Counter,2,0,0%,5/28/2014 7:50,5/28/2014 7:52,0,0
13,122.176.115.202,Top Edits · Edit Counter,2,0,0%,5/28/2014 5:36,5/28/2014 12:05,0.1,"3,204"
14,Srajaltiwari,Top Edits · Edit Counter,1,1,100%,8/26/2019 6:35,8/26/2019 6:35,0,0
15,Rancho baba 21,Top Edits · Edit Counter,1,1,100%,3/26/2019 8:50,3/26/2019 8:50,0,0
16,Billinghurst,Top Edits · Edit Counter,1,1,100%,3/24/2019 3:10,3/24/2019 3:10,0,0
17,ArmouredCyborg,Top Edits · Edit Counter,1,1,100%,8/2/2018 2:32,8/2/2018 2:32,0,0
18,?????????? ????,Top Edits · Edit Counter,1,1,100%,4/12/2018 18:07,4/12/2018 18:07,0,7
19,ShriSanamKumar,Top Edits · Edit Counter,1,1,100%,10/17/2016 22:37,10/17/2016 22:37,0,0
20,Dexbot,Top Edits · Edit Counter,1,1,100%,1/27/2014 0:17,1/27/2014 0:17,0,0
21,Addbot,Top Edits · Edit Counter,1,1,100%,3/13/2013 15:50,3/13/2013 15:50,0,0
22,Mayur,Top Edits · Edit Counter,1,1,100%,5/28/2011 10:04,5/28/2011 10:04,0,48
23,SHIVAM VISH,Top Edits · Edit Counter,1,0,0%,8/31/2019 12:25,8/31/2019 12:25,0,0
24,Harshil169,Top Edits · Edit Counter,1,0,0%,8/5/2019 18:01,8/5/2019 18:01,0,0
25,Abhishek23may,Top Edits · Edit Counter,1,0,0%,8/5/2019 17:09,8/5/2019 17:09,0,918
26,???? ????? ?????,Top Edits · Edit Counter,1,0,0%,2/25/2019 16:28,2/25/2019 16:28,0,0
27,Harshvardhan Srivastav,Top Edits · Edit Counter,1,0,0%,8/1/2018 17:25,8/1/2018 17:25,0,0
28,Nilesh shukla,Top Edits · Edit Counter,1,0,0%,6/20/2018 5:58,6/20/2018 5:58,0,58
29,122.168.202.215,Top Edits · Edit Counter,1,0,0%,5/30/2014 10:08,5/30/2014 10:08,0,0
30,59.93.48.225,Top Edits · Edit Counter,1,0,0%,5/30/2014 8:34,5/30/2014 8:34,0,9
31,103.13.219.4,Top Edits · Edit Counter,1,0,0%,5/30/2014 0:58,5/30/2014 0:58,0,0
32,122.168.54.28,Top Edits · Edit Counter,1,0,0%,5/29/2014 13:44,5/29/2014 13:44,0,0
33,159.155.148.1,Top Edits · Edit Counter,1,0,0%,5/29/2014 4:32,5/29/2014 4:32,0,0
34,123.63.194.82,Top Edits · Edit Counter,1,0,0%,5/28/2014 10:25,5/28/2014 10:25,0,0
35,117.212.225.69,Top Edits · Edit Counter,1,0,0%,12/7/2013 11:28,12/7/2013 11:28,0,0
36,115.108.160.28,Top Edits · Edit Counter,1,0,0%,12/4/2013 4:46,12/4/2013 4:46,0,0
