Rank,Username,Links,Edits,Minor edits,Minor edits %,First edit,Latest edit,atbe,Added (bytes)
1,Trikutdas,Top Edits · Edit Counter,23,3,13%,10/26/2017 16:38,6/3/2018 11:01,9.6,904
2,Subhash 2453,Top Edits · Edit Counter,13,10,76.90%,7/14/2008 14:11,8/30/2009 16:44,31.7,"1,326"
3,Swapnil.Karambelkar,Top Edits · Edit Counter,13,3,23.10%,4/18/2017 3:03,4/23/2017 18:03,0.4,"10,567"
4,AshokChakra,Top Edits · Edit Counter,9,5,55.60%,5/17/2019 15:01,8/25/2019 17:38,11.1,262
5,???? ??????,Top Edits · Edit Counter,9,0,0%,4/5/2007 19:52,5/5/2007 23:38,3.4,550
6,Mayurbot,Top Edits · Edit Counter,8,8,100%,7/12/2010 14:23,12/4/2011 7:47,63.7,104
7,Rashkeqamar,Top Edits · Edit Counter,7,0,0%,10/1/2017 14:53,10/30/2017 2:10,4.1,333
8,?????? ????,Top Edits · Edit Counter,7,0,0%,5/5/2012 8:44,4/5/2017 10:17,256.6,"24,397"
9,?????????? ????,Top Edits · Edit Counter,6,3,50%,9/23/2017 15:39,8/7/2019 12:33,113.8,173
10,Gishaforza,Top Edits · Edit Counter,5,0,0%,10/2/2018 15:19,11/23/2018 5:59,10.3,"3,052"
11,Munita Prasad,Top Edits · Edit Counter,5,0,0%,9/7/2009 10:03,9/17/2009 10:28,2,0
12,MerlIwBot,Top Edits · Edit Counter,4,4,100%,9/26/2012 6:50,11/15/2012 11:55,12.6,83
13,Luckas-bot,Top Edits · Edit Counter,4,4,100%,7/19/2010 11:48,4/11/2012 23:58,158.1,120
14,Pashanizam,Top Edits · Edit Counter,4,0,0%,8/6/2019 8:58,9/7/2019 2:06,7.9,261
15,Dhanoaprabha,Top Edits · Edit Counter,4,0,0%,6/28/2018 17:32,8/23/2018 18:29,14,158
16,???? ??????,Top Edits · Edit Counter,4,0,0%,10/26/2008 6:21,5/4/2009 14:52,47.6,"1,346"
17,?????????,Top Edits · Edit Counter,3,3,100%,5/18/2016 3:51,5/4/2019 15:05,360.5,0
18,1997kB,Top Edits · Edit Counter,3,2,66.70%,8/5/2019 9:11,8/22/2019 14:57,5.7,0
19,????????,Top Edits · Edit Counter,3,0,0%,7/12/2017 4:57,7/13/2018 17:51,122.2,"1,305"
20,141.211.36.221,Top Edits · Edit Counter,3,0,0%,2/19/2008 21:55,2/19/2008 21:58,0,27
21,Amitprabhakar,Top Edits · Edit Counter,3,0,0%,9/22/2006 14:31,9/2/2008 4:44,236.9,"19,373"
22,Gopalindians,Top Edits · Edit Counter,2,2,100%,12/31/2018 6:03,12/31/2018 6:16,0,857
23,Shaan Lollywood,Top Edits · Edit Counter,2,2,100%,8/12/2016 17:09,8/12/2016 17:10,0,45
24,MKar,Top Edits · Edit Counter,2,2,100%,3/7/2013 2:51,1/17/2014 14:19,158.2,32
25,FoxBot,Top Edits · Edit Counter,2,2,100%,6/4/2011 18:21,11/4/2011 15:00,76.4,51
26,Mayur,Top Edits · Edit Counter,2,2,100%,5/28/2011 4:31,9/9/2011 20:36,52.3,48
27,CommonsDelinker,Top Edits · Edit Counter,2,2,100%,12/4/2009 13:53,6/1/2014 7:03,819.9,17
28,???? ?????,Top Edits · Edit Counter,2,2,100%,1/3/2008 21:12,2/11/2008 16:00,19.4,17
29,Vermont,Top Edits · Edit Counter,2,1,50%,10/8/2018 17:58,10/28/2018 20:40,10.1,0
30,Hindustanilanguage,Top Edits · Edit Counter,2,1,50%,7/27/2017 8:08,10/5/2018 18:12,217.7,0
31,??? ???,Top Edits · Edit Counter,2,0,0%,8/22/2019 13:00,8/22/2019 13:11,0,0
32,27.63.68.50,Top Edits · Edit Counter,2,0,0%,8/6/2019 10:31,8/6/2019 10:33,0,115
33,Rakesh k swami,Top Edits · Edit Counter,2,0,0%,8/5/2019 7:42,8/5/2019 7:57,0,162
34,223.185.29.143,Top Edits · Edit Counter,2,0,0%,7/16/2019 17:59,7/16/2019 18:04,0,"3,185"
35,2409:4042:2E84:C23A:0:0:D9C8:2713,Top Edits · Edit Counter,2,0,0%,7/12/2019 7:32,7/12/2019 7:34,0,845
36,27.97.233.27,Top Edits · Edit Counter,2,0,0%,6/15/2019 6:35,6/15/2019 6:35,0,0
37,QueerEcofeminist,Top Edits · Edit Counter,2,0,0%,3/1/2019 18:41,8/21/2019 16:41,86.5,638
38,88.106.10.74,Top Edits · Edit Counter,2,0,0%,10/7/2018 23:23,10/24/2018 20:16,8.4,0
39,2405:205:510A:8FDD:0:0:1D15:80A0,Top Edits · Edit Counter,2,0,0%,5/17/2017 4:47,5/17/2017 4:49,0,36
40,Gudiamishra,Top Edits · Edit Counter,2,0,0%,1/7/2016 9:33,1/9/2016 15:43,1.1,96
41,1.38.21.176,Top Edits · Edit Counter,2,0,0%,12/26/2013 9:23,12/26/2013 9:24,0,0
42,Dinesh smita,Top Edits · Edit Counter,2,0,0%,9/6/2011 9:53,9/6/2011 10:03,0,70
43,220.225.96.217,Top Edits · Edit Counter,2,0,0%,8/12/2010 10:17,8/12/2010 10:19,0,8
44,????? ????,Top Edits · Edit Counter,2,0,0%,7/28/2010 16:30,7/28/2010 16:31,0,0
45,WikiBayer,Top Edits · Edit Counter,1,1,100%,8/31/2019 8:49,8/31/2019 8:49,0,0
46,Karimfaisal20,Top Edits · Edit Counter,1,1,100%,8/21/2019 16:38,8/21/2019 16:38,0,0
47,J ansari,Top Edits · Edit Counter,1,1,100%,8/21/2019 13:05,8/21/2019 13:05,0,0
