Rank,Username,Links,Edits,Minor edits,Minor edits %,First edit,Latest edit,atbe,Added (bytes)
1,Wikireader41,Top Edits · Edit Counter,331,45,13.60%,12/31/2008 1:08,5/16/2013 17:34,4.8,"52,024"
2,Kautilya3,Top Edits · Edit Counter,277,33,11.90%,1/3/2015 13:23,8/26/2019 11:34,6.1,"372,731"
3,Owais Khursheed,Top Edits · Edit Counter,126,1,0.80%,4/24/2016 13:15,12/2/2017 17:18,4.7,"50,420"
4,68.39.193.157,Top Edits · Edit Counter,122,0,0%,6/3/2006 23:03,8/28/2006 23:33,0.7,"5,453"
5,Tyler Durden,Top Edits · Edit Counter,115,30,26.10%,2/8/2017 0:18,6/5/2017 17:30,1,"37,999"
6,Mughalnz,Top Edits · Edit Counter,114,36,31.60%,8/2/2009 2:34,5/2/2010 4:39,2.4,"23,619"
7,Mrt3366,Top Edits · Edit Counter,105,18,17.10%,7/30/2012 9:09,5/30/2013 15:16,2.9,"22,155"
8,Idleguy,Top Edits · Edit Counter,105,17,16.20%,5/29/2006 8:15,2/18/2008 8:57,6,"10,693"
9,Human3015,Top Edits · Edit Counter,104,11,10.60%,1/21/2015 21:17,2/6/2016 8:52,3.7,"52,148"
10,Faizan,Top Edits · Edit Counter,54,2,3.70%,4/9/2013 9:25,4/11/2017 0:42,27.1,"8,709"
11,Anonymous editor,Top Edits · Edit Counter,52,34,65.40%,10/29/2005 22:43,6/17/2006 6:51,4.4,"23,861"
12,Mar4d,Top Edits · Edit Counter,51,1,2%,9/15/2011 9:36,2/25/2018 14:24,46.2,"8,635"
13,NadirAli,Top Edits · Edit Counter,48,0,0%,5/26/2017 5:57,3/18/2018 5:08,6.2,"41,452"
14,Killbillsbrowser,Top Edits · Edit Counter,43,9,20.90%,1/19/2011 20:24,7/6/2013 16:55,20.9,"8,249"
15,Darkness Shines,Top Edits · Edit Counter,43,1,2.30%,5/24/2012 0:30,2/16/2014 8:09,14.7,909
16,Jozoisis,Top Edits · Edit Counter,43,0,0%,8/8/2012 9:45,9/8/2012 10:53,0.7,"19,707"
17,Towns Hill,Top Edits · Edit Counter,38,5,13.20%,2/8/2016 11:09,11/28/2016 7:44,7.7,"28,712"
18,Algebraic123,Top Edits · Edit Counter,37,0,0%,12/14/2008 18:28,1/1/2009 20:16,0.5,"4,040"
19,MarkH21,Top Edits · Edit Counter,34,7,20.60%,3/22/2019 8:59,8/26/2019 11:45,4.6,"16,428"
20,VonBismarck,Top Edits · Edit Counter,33,10,30.30%,5/14/2011 17:14,6/5/2011 15:52,0.7,"6,955"
21,Doorvery far,Top Edits · Edit Counter,33,6,18.20%,12/18/2008 14:21,11/19/2009 6:04,10.2,"2,958"
22,Pahari Sahib,Top Edits · Edit Counter,31,19,61.30%,4/28/2007 19:57,7/25/2009 8:15,26.4,"5,917"
23,DBigXray,Top Edits · Edit Counter,31,2,6.50%,9/16/2011 12:37,12/13/2018 20:02,85.3,"4,854"
24,Nobleeagle,Top Edits · Edit Counter,31,0,0%,12/31/2006 4:32,2/28/2007 6:29,1.9,"5,150"
25,Philg88,Top Edits · Edit Counter,29,8,27.60%,7/18/2014 5:36,9/29/2015 12:56,15.1,"2,747"
26,King Zebu,Top Edits · Edit Counter,29,4,13.80%,7/12/2009 4:38,2/4/2018 15:07,107.9,"3,406"
27,AI009,Top Edits · Edit Counter,28,0,0%,4/23/2008 14:27,5/28/2008 3:44,1.2,"2,213"
28,Avadhoot,Top Edits · Edit Counter,27,11,40.70%,1/30/2006 13:21,6/9/2006 15:35,4.8,974
29,Smsarmad,Top Edits · Edit Counter,27,1,3.70%,4/25/2008 21:16,9/14/2015 1:02,99.9,"1,238"
30,Shovon76,Top Edits · Edit Counter,23,4,17.40%,7/17/2008 17:00,1/23/2014 8:17,87.6,"2,226"
31,Altetendekrabbe,Top Edits · Edit Counter,23,0,0%,9/2/2011 22:09,5/1/2012 22:28,10.5,592
32,Atulsnischal,Top Edits · Edit Counter,23,0,0%,12/10/2006 4:17,7/8/2008 7:04,25,"3,701"
33,El C,Top Edits · Edit Counter,22,10,45.50%,2/12/2007 11:28,8/22/2008 21:04,25.3,214
34,Diannaa,Top Edits · Edit Counter,22,1,4.50%,11/23/2010 3:01,4/8/2016 3:22,89.2,332
35,MaximvsDecimvs,Top Edits · Edit Counter,20,15,75%,6/1/2007 7:58,7/2/2008 14:50,19.9,307
36,Ontopofcosts,Top Edits · Edit Counter,20,0,0%,1/1/2009 7:21,1/1/2009 20:16,0,27
37,UnknownForEver,Top Edits · Edit Counter,17,3,17.60%,4/21/2008 20:59,3/21/2009 16:37,19.6,887
38,Kashmirilegend,Top Edits · Edit Counter,17,0,0%,5/17/2012 15:48,10/15/2012 6:45,8.9,"3,304"
39,Nikhilmn2002,Top Edits · Edit Counter,16,0,0%,12/19/2013 8:34,9/5/2015 10:26,39.1,254
40,67.175.209.222,Top Edits · Edit Counter,16,0,0%,4/2/2008 22:08,6/1/2008 1:03,3.7,"5,663"
41,Pauli133,Top Edits · Edit Counter,15,15,100%,8/1/2017 18:48,8/29/2017 18:03,1.9,815
42,Eraserhead1,Top Edits · Edit Counter,15,2,13.30%,3/27/2010 15:49,1/1/2012 15:14,43,"1,242"
43,MBlaze Lightning,Top Edits · Edit Counter,15,1,6.70%,3/5/2016 10:45,12/5/2018 12:36,67,"1,716"
44,VanishedUser sdu9aya9fasdsopa,Top Edits · Edit Counter,15,0,0%,10/20/2012 11:27,10/20/2012 14:42,0,"1,921"
45,Samm19,Top Edits · Edit Counter,14,3,21.40%,7/20/2017 19:59,7/22/2017 5:05,0.1,"2,558"
46,AetherSage,Top Edits · Edit Counter,13,3,23.10%,12/4/2008 3:50,2/19/2009 3:07,5.9,"2,075"
47,Mehrajmir13,Top Edits · Edit Counter,13,0,0%,8/22/2012 3:15,12/13/2013 16:01,36.8,"2,293"
48,Shopner,Top Edits · Edit Counter,13,0,0%,4/5/2007 18:28,4/5/2007 19:49,0,"5,247"
49,Advil,Top Edits · Edit Counter,13,0,0%,7/27/2006 5:43,8/6/2006 4:38,0.8,881
50,Kashmirspeaks,Top Edits · Edit Counter,12,6,50%,3/4/2009 15:41,1/25/2011 7:04,57.6,"2,048"
51,Hyblackeagle22,Top Edits · Edit Counter,12,2,16.70%,6/24/2010 16:00,9/20/2010 18:03,7.3,50
52,Deeptrivia,Top Edits · Edit Counter,12,2,16.70%,5/29/2006 3:19,5/22/2007 2:40,29.8,601
53,Saff V.,Top Edits · Edit Counter,12,0,0%,3/2/2019 12:02,8/7/2019 9:32,13.2,"1,864"
54,Rjwilmsi,Top Edits · Edit Counter,11,11,100%,6/5/2006 7:16,9/30/2019 9:10,442.3,"1,335"
55,Liberal Humanist,Top Edits · Edit Counter,11,5,45.50%,5/4/2011 14:10,4/29/2017 17:56,198.8,"1,046"
56,RegentsPark,Top Edits · Edit Counter,11,3,27.30%,10/31/2009 15:56,2/15/2019 12:13,308.5,"1,733"
57,115.186.146.225,Top Edits · Edit Counter,11,0,0%,6/8/2015 6:21,8/31/2015 6:10,7.6,8
58,GreaterIndia,Top Edits · Edit Counter,11,0,0%,7/14/2012 15:39,7/14/2012 18:23,0,"1,698"
59,Thisthat2011,Top Edits · Edit Counter,11,0,0%,5/9/2011 8:10,4/27/2012 14:32,32.2,"3,658"
60,Kabuli,Top Edits · Edit Counter,11,0,0%,5/26/2008 0:05,12/20/2008 21:41,19,"3,786"
61,72.196.101.44,Top Edits · Edit Counter,11,0,0%,1/12/2007 20:06,2/16/2007 6:28,3.1,649
62,NeilN,Top Edits · Edit Counter,10,4,40%,6/10/2015 16:47,10/23/2015 13:51,13.5,245
63,Jodosma,Top Edits · Edit Counter,10,3,30%,10/25/2015 22:26,10/25/2015 23:40,0,168
64,KA$HMIR,Top Edits · Edit Counter,10,0,0%,10/14/2017 9:13,11/10/2017 18:57,2.7,"8,319"
65,HIAS,Top Edits · Edit Counter,10,0,0%,9/18/2015 8:44,2/6/2016 8:48,14.1,"1,208"
