date,views
7/1/2015,2
7/2/2015,7
7/3/2015,7
7/4/2015,5
7/5/2015,2
7/6/2015,3
7/7/2015,4
7/8/2015,18
7/9/2015,5
7/10/2015,8
7/11/2015,10
7/12/2015,5
7/13/2015,9
7/14/2015,1
7/15/2015,0
7/16/2015,2
7/17/2015,2
7/18/2015,0
7/19/2015,4
7/20/2015,3
7/21/2015,6
7/22/2015,4
7/23/2015,4
7/24/2015,3
7/25/2015,1
7/26/2015,2
7/27/2015,3
7/28/2015,4
7/29/2015,3
7/30/2015,3
7/31/2015,1
8/1/2015,6
8/2/2015,4
8/3/2015,3
8/4/2015,5
8/5/2015,3
8/6/2015,8
8/7/2015,5
8/8/2015,11
8/9/2015,7
8/10/2015,9
8/11/2015,2
8/12/2015,8
8/13/2015,7
8/14/2015,8
8/15/2015,5
8/16/2015,10
8/17/2015,5
8/18/2015,7
8/19/2015,6
8/20/2015,10
8/21/2015,12
8/22/2015,16
8/23/2015,19
8/24/2015,9
8/25/2015,9
8/26/2015,9
8/27/2015,7
8/28/2015,15
8/29/2015,10
8/30/2015,13
8/31/2015,8
9/1/2015,13
9/2/2015,19
9/3/2015,6
9/4/2015,11
9/5/2015,14
9/6/2015,14
9/7/2015,10
9/8/2015,15
9/9/2015,9
9/10/2015,10
9/11/2015,7
9/12/2015,11
9/13/2015,18
9/14/2015,5
9/15/2015,10
9/16/2015,23
9/17/2015,6
9/18/2015,11
9/19/2015,10
9/20/2015,11
9/21/2015,10
9/22/2015,4
9/23/2015,1
9/24/2015,6
9/25/2015,2
9/26/2015,7
9/27/2015,9
9/28/2015,11
9/29/2015,7
9/30/2015,8
10/1/2015,6
10/2/2015,7
10/3/2015,8
10/4/2015,10
10/5/2015,7
10/6/2015,7
10/7/2015,11
10/8/2015,22
10/9/2015,8
10/10/2015,8
10/11/2015,5
10/12/2015,7
10/13/2015,8
10/14/2015,9
10/15/2015,12
10/16/2015,3
10/17/2015,9
10/18/2015,16
10/19/2015,9
10/20/2015,9
10/21/2015,13
10/22/2015,8
10/23/2015,10
10/24/2015,5
10/25/2015,7
10/26/2015,7
10/27/2015,11
10/28/2015,9
10/29/2015,17
10/30/2015,17
10/31/2015,4
11/1/2015,4
11/2/2015,3
11/3/2015,2
11/4/2015,9
11/5/2015,11
11/6/2015,2
11/7/2015,8
11/8/2015,11
11/9/2015,6
11/10/2015,7
11/11/2015,9
11/12/2015,12
11/13/2015,5
11/14/2015,7
11/15/2015,1
11/16/2015,5
11/17/2015,10
11/18/2015,13
11/19/2015,6
11/20/2015,6
11/21/2015,6
11/22/2015,9
11/23/2015,5
11/24/2015,9
11/25/2015,4
11/26/2015,5
11/27/2015,3
11/28/2015,7
11/29/2015,6
11/30/2015,5
12/1/2015,6
12/2/2015,14
12/3/2015,8
12/4/2015,8
12/5/2015,3
12/6/2015,6
12/7/2015,7
12/8/2015,4
12/9/2015,11
12/10/2015,13
12/11/2015,8
12/12/2015,12
12/13/2015,12
12/14/2015,4
12/15/2015,5
12/16/2015,4
12/17/2015,4
12/18/2015,3
12/19/2015,3
12/20/2015,9
12/21/2015,8
12/22/2015,8
12/23/2015,6
12/24/2015,3
12/25/2015,4
12/26/2015,4
12/27/2015,6
12/28/2015,11
12/29/2015,7
12/30/2015,8
12/31/2015,0
1/1/2016,9
1/2/2016,23
1/3/2016,9
1/4/2016,9
1/5/2016,4
1/6/2016,10
1/7/2016,3
1/8/2016,9
1/9/2016,6
1/10/2016,6
1/11/2016,7
1/12/2016,18
1/13/2016,14
1/14/2016,17
1/15/2016,8
1/16/2016,12
1/17/2016,8
1/18/2016,15
1/19/2016,11
1/20/2016,23
1/21/2016,7
1/22/2016,9
1/23/2016,6
1/24/2016,7
1/25/2016,9
1/26/2016,9
1/27/2016,4
1/28/2016,11
1/29/2016,11
1/30/2016,10
1/31/2016,17
2/1/2016,21
2/2/2016,14
2/3/2016,27
2/4/2016,44
2/5/2016,65
2/6/2016,20
2/7/2016,18
2/8/2016,8
2/9/2016,6
2/10/2016,4
2/11/2016,9
2/12/2016,11
2/13/2016,10
2/14/2016,10
2/15/2016,10
2/16/2016,28
2/17/2016,7
2/18/2016,4
2/19/2016,5
2/20/2016,9
2/21/2016,17
2/22/2016,7
2/23/2016,11
2/24/2016,12
2/25/2016,7
2/26/2016,7
2/27/2016,9
2/28/2016,9
2/29/2016,5
3/1/2016,10
3/2/2016,9
3/3/2016,9
3/4/2016,15
3/5/2016,2
3/6/2016,8
3/7/2016,5
3/8/2016,5
3/9/2016,7
3/10/2016,4
3/11/2016,4
3/12/2016,6
3/13/2016,9
3/14/2016,5
3/15/2016,12
3/16/2016,9
3/17/2016,18
3/18/2016,4
3/19/2016,6
3/20/2016,12
3/21/2016,9
3/22/2016,3
3/23/2016,4
3/24/2016,8
3/25/2016,4
3/26/2016,5
3/27/2016,10
3/28/2016,21
3/29/2016,5
3/30/2016,7
3/31/2016,7
4/1/2016,6
4/2/2016,14
4/3/2016,7
4/4/2016,12
4/5/2016,13
4/6/2016,5
4/7/2016,7
4/8/2016,7
4/9/2016,4
4/10/2016,12
4/11/2016,9
4/12/2016,14
4/13/2016,6
4/14/2016,13
4/15/2016,4
4/16/2016,14
4/17/2016,6
4/18/2016,16
4/19/2016,4
4/20/2016,7
4/21/2016,15
4/22/2016,7
4/23/2016,3
4/24/2016,8
4/25/2016,13
4/26/2016,9
4/27/2016,4
4/28/2016,8
4/29/2016,18
4/30/2016,8
5/1/2016,4
5/2/2016,6
5/3/2016,5
5/4/2016,5
5/5/2016,11
5/6/2016,25
5/7/2016,8
5/8/2016,8
5/9/2016,13
5/10/2016,4
5/11/2016,5
5/12/2016,12
5/13/2016,7
5/14/2016,7
5/15/2016,12
5/16/2016,7
5/17/2016,9
5/18/2016,13
5/19/2016,15
5/20/2016,8
5/21/2016,12
5/22/2016,5
5/23/2016,14
5/24/2016,5
5/25/2016,7
5/26/2016,10
5/27/2016,13
5/28/2016,7
5/29/2016,6
5/30/2016,10
5/31/2016,7
6/1/2016,5
6/2/2016,6
6/3/2016,7
6/4/2016,6
6/5/2016,2
6/6/2016,3
6/7/2016,6
6/8/2016,5
6/9/2016,7
6/10/2016,5
6/11/2016,3
6/12/2016,3
6/13/2016,7
6/14/2016,10
6/15/2016,4
6/16/2016,11
6/17/2016,7
6/18/2016,9
6/19/2016,6
6/20/2016,3
6/21/2016,15
6/22/2016,7
6/23/2016,4
6/24/2016,4
6/25/2016,10
6/26/2016,10
6/27/2016,10
6/28/2016,8
6/29/2016,6
6/30/2016,13
7/1/2016,6
7/2/2016,2
7/3/2016,10
7/4/2016,10
7/5/2016,2
7/6/2016,3
7/7/2016,4
7/8/2016,4
7/9/2016,2
7/10/2016,15
7/11/2016,18
7/12/2016,32
7/13/2016,27
7/14/2016,39
7/15/2016,33
7/16/2016,21
7/17/2016,19
7/18/2016,21
7/19/2016,25
7/20/2016,52
7/21/2016,24
7/22/2016,16
7/23/2016,22
7/24/2016,38
7/25/2016,21
7/26/2016,26
7/27/2016,13
7/28/2016,12
