,project,article,granularity,access,agent,views,date
0,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-01-01
1,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-01-02
2,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-01-03
3,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-01-04
4,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-01-05
5,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,3,2018-01-06
6,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,29,2018-01-07
7,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-01-08
8,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-01-09
9,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-01-10
10,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-01-11
11,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-01-12
12,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-01-13
13,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-01-14
14,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-01-15
15,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-01-16
16,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-01-17
17,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,29,2018-01-18
18,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-01-19
19,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-01-20
20,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-01-21
21,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-01-22
22,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-01-23
23,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-01-24
24,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-01-25
25,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-01-26
26,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-01-27
27,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-01-28
28,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,25,2018-01-29
29,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-01-30
30,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,29,2018-01-31
31,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,36,2018-02-01
32,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,44,2018-02-02
33,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,74,2018-02-03
34,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,75,2018-02-04
35,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,123,2018-02-05
36,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,39,2018-02-06
37,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,23,2018-02-07
38,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-02-08
39,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-02-09
40,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-02-10
41,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-02-11
42,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,37,2018-02-12
43,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-02-13
44,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-02-14
45,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-02-15
46,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,29,2018-02-16
47,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-02-17
48,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-02-18
49,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-02-19
50,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-02-20
51,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-02-21
52,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-02-22
53,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-02-23
54,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,22,2018-02-24
55,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-02-25
56,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-02-26
