timestamp,size,year,month,day
2019-09-01 06:05:52,7199,2019,9,Sunday
2019-08-22 12:42:15,7196,2019,8,Thursday
2019-08-14 12:02:55,7056,2019,8,Wednesday
2019-02-17 22:46:57,7022,2019,2,Sunday
2018-08-15 13:45:44,7009,2018,8,Wednesday
2018-08-15 13:21:36,6968,2018,8,Wednesday
2018-03-28 18:34:09,6964,2018,3,Wednesday
2018-03-23 09:22:02,6953,2018,3,Friday
2018-03-17 05:13:53,6850,2018,3,Saturday
2018-03-17 04:10:30,6849,2018,3,Saturday
2018-01-31 13:10:27,6849,2018,1,Wednesday
2018-01-18 18:04:18,6847,2018,1,Thursday
2018-01-02 04:37:41,6792,2018,1,Tuesday
2017-11-26 18:24:09,6755,2017,11,Sunday
2017-06-01 14:00:52,15224,2017,6,Thursday
2017-04-17 16:59:11,15257,2017,4,Monday
2017-04-17 10:02:34,15259,2017,4,Monday
2017-04-17 10:01:26,15509,2017,4,Monday
2017-04-17 06:33:16,15343,2017,4,Monday
2017-04-16 22:18:43,15349,2017,4,Sunday
2017-04-16 22:18:01,15348,2017,4,Sunday
2017-04-16 22:12:20,15152,2017,4,Sunday
2017-04-16 22:11:32,15176,2017,4,Sunday
2017-04-04 10:04:41,6788,2017,4,Tuesday
2016-12-19 20:10:55,6793,2016,12,Monday
2016-06-28 21:31:05,6762,2016,6,Tuesday
2015-11-23 08:42:20,6797,2015,11,Monday
2015-10-06 13:47:19,6808,2015,10,Tuesday
2015-10-06 13:46:35,6810,2015,10,Tuesday
2015-10-06 07:59:21,6812,2015,10,Tuesday
2015-05-30 18:17:14,6728,2015,5,Saturday
2015-04-24 19:43:24,6730,2015,4,Friday
2015-03-30 07:51:31,6722,2015,3,Monday
2015-03-29 23:48:27,6713,2015,3,Sunday
2015-03-29 23:25:27,6689,2015,3,Sunday
2015-03-29 23:23:09,6711,2015,3,Sunday
2015-03-29 23:01:15,6705,2015,3,Sunday
2015-03-29 23:01:05,6694,2015,3,Sunday
2015-03-29 22:04:27,6694,2015,3,Sunday
2015-03-29 21:52:08,6692,2015,3,Sunday
2015-03-29 21:52:04,6693,2015,3,Sunday
2015-03-29 21:51:48,6690,2015,3,Sunday
2015-03-29 21:41:03,6683,2015,3,Sunday
2015-03-29 21:37:14,6684,2015,3,Sunday
2015-03-29 21:37:10,6679,2015,3,Sunday
2015-03-29 21:36:25,6676,2015,3,Sunday
2015-03-29 21:30:57,6668,2015,3,Sunday
2015-03-29 21:28:30,6660,2015,3,Sunday
2015-03-29 21:28:26,6651,2015,3,Sunday
2015-03-29 21:27:12,6636,2015,3,Sunday
