lang,pearson,offset
en,0.06559439224580302,-14
en,0.05035651587466116,-13
en,0.0650668359206783,-12
en,0.08772353180932717,-11
en,0.08962427006490177,-10
en,0.08252100876489141,-9
en,0.18400528036196417,-8
en,0.2181363555099389,-7
en,0.1998123389809734,-6
en,0.16588236142491705,-5
en,0.26299226288795585,-4
en,0.2503726189757803,-3
en,0.31202512057066334,-2
en,0.33211875331115875,-1
en,0.341181001909451,0
en,0.3550613750024212,1
en,0.29530602215983187,2
en,0.30151103776751836,3
en,0.26888665512617493,4
en,0.26737221741902534,5
en,0.22475959587913222,6
en,0.19034429834373226,7
en,0.17852811729577578,8
en,0.15150902941865635,9
en,0.11748954981245154,10
en,0.12426084446166512,11
en,0.23890995723200975,12
en,0.27288711787933284,13
en,0.24530889034376002,14
hi,-0.011864973466847476,-14
hi,0.005078807281723781,-13
hi,-0.003215562933644891,-12
hi,-0.004809558823542922,-11
hi,-0.007621661035745673,-10
hi,-0.011946732255507651,-9
hi,-0.006263285431379415,-8
hi,-0.007272107994171007,-7
hi,-0.013664931791205998,-6
hi,-0.019213804839200783,-5
hi,-0.01376107925037162,-4
hi,0.006514223662668433,-3
hi,0.02384410277070414,-2
hi,0.038075999955466566,-1
hi,0.2085544739808979,0
hi,0.15320261992837714,1
hi,0.12611091551785533,2
hi,0.10763352413637761,3
hi,0.2871099159534993,4
hi,0.17367900959335522,5
hi,0.09892001381609615,6
hi,0.07231366626580209,7
hi,0.05748973833098333,8
hi,0.0554894670939376,9
hi,0.04358830991644603,10
hi,0.053900210494640964,11
hi,0.0338335625138666,12
hi,0.03345908251058404,13
hi,0.025092651217734994,14
ur,0.06798349856714905,-14
ur,0.15259214006175004,-13
ur,0.10592405469967367,-12
ur,0.07470026899055238,-11
ur,0.12232352651773867,-10
ur,0.24093494476913507,-9
ur,0.20421438816194548,-8
ur,0.22069464460446228,-7
ur,0.19870458557312348,-6
ur,0.1572487869217662,-5
ur,0.10677246115248025,-4
ur,0.16735138432346164,-3
ur,0.1985405556701063,-2
ur,0.1264055217701261,-1
ur,0.18831201551569357,0
ur,0.16164747212457295,1
ur,0.15531196503205114,2
ur,0.12996993666196396,3
ur,0.13404276265001372,4
ur,0.15259674770668463,5
ur,0.07973841614268384,6
ur,0.12001413980228683,7
ur,0.16391015322904498,8
ur,0.11322609648887058,9
ur,0.14037826974253553,10
ur,0.12182428468586452,11
ur,0.12453950201123098,12
ur,0.07747573503821178,13
ur,0.12680218311570307,14
