lang,pearson,offset
en,0.15815405188743675,-14
en,0.15142481472349056,-13
en,0.15404661584604143,-12
en,0.13334210114121575,-11
en,0.13707960015655832,-10
en,0.14211884269932515,-9
en,0.15032043321195002,-8
en,0.13979353936654307,-7
en,0.1748244325539254,-6
en,0.1277557707643011,-5
en,0.1331187403076961,-4
en,0.12440111390045838,-3
en,0.11920331105790297,-2
en,0.1399049397685074,-1
en,0.29972594562809796,0
en,0.32754137444400255,1
en,0.26909915882914776,2
en,0.30913494828325455,3
en,0.4026261250234624,4
en,0.41211847614835223,5
en,0.3869548869487282,6
en,0.3731528743417531,7
en,0.3533324654033815,8
en,0.3769733087592657,9
en,0.48353191386634164,10
en,0.3648608162787308,11
en,0.2650140076664078,12
en,0.1704855491651648,13
en,0.13484792509179344,14
hi,0.013049294177754078,-14
hi,0.006200418394901593,-13
hi,-0.11940120749316115,-12
hi,-0.054384903022464307,-11
hi,0.052271057120476645,-10
hi,0.11546106090379422,-9
hi,0.11548963941306718,-8
hi,0.06505253596549988,-7
hi,0.13125123424043197,-6
hi,0.1564697859642155,-5
hi,0.19815044784102417,-4
hi,0.05197287383717142,-3
hi,-0.0822337462827509,-2
hi,-0.1012992679234492,-1
hi,-0.029625179868304423,0
hi,0.024188168320880842,1
hi,0.132619981900749,2
hi,0.22656495399018942,3
hi,0.22429799090421218,4
hi,0.30279541132056137,5
hi,0.39373209653469016,6
hi,0.37600357852268407,7
hi,0.36151407914603373,8
hi,0.29373578943965056,9
hi,0.25565676538250487,10
hi,0.23260953572424733,11
hi,0.21285466860889776,12
hi,0.1912007106292314,13
hi,0.18707709319777624,14
ur,,-14
ur,,-13
ur,,-12
ur,,-11
ur,,-10
ur,,-9
ur,,-8
ur,,-7
ur,,-6
ur,,-5
ur,,-4
ur,,-3
ur,,-2
ur,,-1
ur,,0
ur,,1
ur,,2
ur,,3
ur,,4
ur,,5
ur,,6
ur,,7
ur,,8
ur,,9
ur,,10
ur,,11
ur,,12
ur,,13
ur,,14
