lang,pearson,offset
en,0.038626864977796105,-14
en,0.04053010526915027,-13
en,0.04821947389151909,-12
en,0.06941212399707215,-11
en,0.061592515391262134,-10
en,0.03494194171296628,-9
en,0.030953125153440265,-8
en,0.02665520569988049,-7
en,0.02093853869336784,-6
en,0.018936316014598366,-5
en,0.025412890648507217,-4
en,0.05380424612108033,-3
en,0.05692338117879363,-2
en,0.08368071843546918,-1
en,0.13391603431471982,0
en,0.11174770927304949,1
en,0.08213595417182228,2
en,0.07506173496220134,3
en,0.05529328044511431,4
en,0.031273676471925665,5
en,0.0027834864054093926,6
en,-0.009510189961088471,7
en,-0.00911587077698411,8
en,-0.011202471739455058,9
en,-0.00943586601836834,10
en,-0.007291468742852196,11
en,-0.007104176256180212,12
en,-0.007224790964157539,13
en,-0.014730058197513322,14
hi,0.13672691483873844,-14
hi,0.11092111678372273,-13
hi,0.14044759207153834,-12
hi,0.09491196428662964,-11
hi,0.052892205813449236,-10
hi,0.055349900866307915,-9
hi,0.05220951274321073,-8
hi,0.02415082755640797,-7
hi,0.026984003797897792,-6
hi,0.005581576045920471,-5
hi,0.01978159190688149,-4
hi,5.176217698853783e-05,-3
hi,0.02879314043402984,-2
hi,0.05091239590975757,-1
hi,0.09924706528264417,0
hi,0.037360938465523165,1
hi,0.009950811695446954,2
hi,0.005854653274015888,3
hi,-0.007218919021051597,4
hi,-0.004317473472537929,5
hi,-0.010461711104684536,6
hi,-0.0062290140692057615,7
hi,-0.007321322981587371,8
hi,-0.01580798157632665,9
hi,-0.010191588265281817,10
hi,-0.008353495908939879,11
hi,-0.010429859496659474,12
hi,-0.01750991894330995,13
hi,-0.024692094631979397,14
