lang,pearson,offset
en,0.5513535115451976,-14
en,0.6478140421332708,-13
en,0.7418365336404675,-12
en,0.7307017079653501,-11
en,0.7076572381395354,-10
en,0.6227290227438723,-9
en,0.6523610073997166,-8
en,0.7215644529189527,-7
en,0.751927207281672,-6
en,0.8007611886975051,-5
en,0.8184464487777625,-4
en,0.8095112052986314,-3
en,0.8280840573553837,-2
en,0.8149759171007575,-1
en,0.7380511343647965,0
en,0.6883239853079519,1
en,0.6187570501268259,2
en,0.5448438584468459,3
en,0.49541216643205166,4
en,0.480935000571799,5
en,0.4576582702785268,6
en,0.4284015027261454,7
en,0.4593859963382522,8
en,0.5223433979428951,9
en,0.4674155109778954,10
en,0.3876778888039903,11
en,0.318023868314115,12
en,0.2532821453365252,13
en,0.21151395827657551,14
hi,-0.00434142012062642,-14
hi,-0.005508976133229693,-13
hi,0.006414990394082961,-12
hi,-0.004346646775509708,-11
hi,0.006484101004070649,-10
hi,0.08332174441748597,-9
hi,0.1472752225187719,-8
hi,0.002528543084239903,-7
hi,-0.00592760176459022,-6
hi,-0.0109860915188703,-5
hi,-0.013448849071577647,-4
hi,-0.013136899921483156,-3
hi,0.010281729225562766,-2
hi,0.03293157580207415,-1
hi,0.042881338991954156,0
hi,0.0501368016963559,1
hi,0.034332187038051395,2
hi,0.01636191341239414,3
hi,0.0050756507659432066,4
hi,0.0015386903043153955,5
hi,-0.0022610713909462198,6
hi,-0.0009307936290642358,7
hi,-0.0028743468087480315,8
hi,0.003460204116776343,9
hi,0.0018745010435008732,10
hi,0.005695857895079433,11
hi,0.002884825536194604,12
hi,0.004614111212845774,13
hi,0.0009582451689758568,14
ur,0.08521893247378587,-14
ur,0.02420172999157898,-13
ur,0.007073470409524662,-12
ur,-0.00865987578545269,-11
ur,-0.009090010277141054,-10
ur,-0.011614696983941804,-9
ur,-0.00996725079803741,-8
ur,0.003737260259348856,-7
ur,-0.011775661652345344,-6
ur,-0.019877954310702762,-5
ur,-0.015456940362536274,-4
ur,0.042114892816072856,-3
ur,0.46988319720096594,-2
ur,0.12361017277620866,-1
ur,0.6162325754329141,0
ur,0.5166723075432739,1
ur,0.42386029905209216,2
ur,0.5767424346023234,3
ur,0.4651987205365216,4
ur,0.5602700725305286,5
ur,0.46272899486075925,6
ur,0.483982862857294,7
ur,0.41002089709251704,8
ur,0.5099313806250062,9
ur,0.46110107793320104,10
ur,0.5226453496474891,11
ur,0.640592748537294,12
ur,0.691479675848427,13
ur,0.48632512197907735,14
